title,description,category,duration,time_to_deadline,description_length,is_urgent,priority
Створити презентацію на тему маркетингова кампанія,Прочитати розділ маркетингова кампанія.,Навчання,158,20.0,39,0,2
Виконати завдання з математики,Виконати завдання з математики.,Навчання,365,,31,0,2
Відвідати спортзал з родиною,Організувати наради.,Особисте,314,4.0,20,0,2
Зробити підготовка звіту,Написати email клієнту щодо маркетингова кампанія.,Робота,304,15.0,50,0,3
Прибрати спортзал,Організувати наради.,Особисте,284,,20,0,2
Підготувати фінансовий звіт,Завершити проєктний аналіз перед 1971-06-14.,Робота,416,11.0,44,0,3
Спланувати похід в кіно з друзями,Спланувати похід в кіно з друзями.,Особисте,451,,34,0,2
Відвідати спортзал з родиною,Спланувати похід в кіно з друзями.,Особисте,352,4.0,34,0,2
Забронювати готель,Забронювати готель.,Подорожі,379,9.0,19,0,2
Дослідити місцеві пам'ятки в хутір Судак,Спланувати поїздку до місто Рава-Руська.,Подорожі,31,5.0,40,0,2
Прибрати спортзал,Організувати наради.,Особисте,440,5.0,20,0,2
Виконати завдання з математики,Виконати завдання з математики.,Навчання,403,2.0,31,0,2
Відвідати спортзал з родиною,Організувати наради.,Особисте,293,12.0,20,0,2
Тренування на біцепс,Відвідати спортзал для спорту.,Спорт,40,27.0,30,0,1
Зібрати речі для поїздка,Зібрати речі для поїздка.,Подорожі,409,4.0,25,0,2
Тренування на біцепс,Тренування на біцепс.,Спорт,43,21.0,21,0,1
Забронювати готель,,Подорожі,392,13.0,52,0,2
Прочитати маркетингова кампанія,Виконати завдання з математики.,Навчання,134,24.0,31,0,2
Організувати наради,Написати email клієнту щодо маркетингова кампанія.,Робота,387,2.0,50,0,3
Підготуватися до спортивні змагання,Підготуватися до спортивні змагання.,Спорт,324,29.0,36,0,2
Відвідати спортзал для спорту,Підготуватися до спортивні змагання.,Спорт,195,,36,0,2
Забронювати готель для вихідного дня,Відвідати спортзал з родиною.,Особисте,202,26.0,29,0,2
Завершити підготовка звіту,Підготувати звіт про маркетингова кампанія.,Робота,385,4.0,43,0,3
Розрахувати бюджет на наради,Дослідити місцеві визначні пам'ятки в село Луганськ.,Подорожі,131,3.0,52,0,2
Підготувати фінансовий звіт,Завершити проєктний аналіз перед 2021-01-20.,Робота,473,29.0,44,0,3
Прибрати спортзал,Спланувати похід в кіно з друзями.,Особисте,118,11.0,34,0,2
Забронювати готель,Розрахувати бюджет на наради.,Подорожі,128,21.0,29,0,2
Зайнятися кардіо,Зайнятися кардіо.,Спорт,279,25.0,17,0,2
Розрахувати бюджет на наради,Спланувати поїздку до хутір Охтирка.,Подорожі,100,2.0,36,0,2
Зробити підготовка звіту,Написати email клієнту щодо маркетингова кампанія.,Робота,354,5.0,50,0,3
Зібрати речі для поїздка,Дослідити місцеві визначні пам'ятки в село Тростянець.,Подорожі,169,26.0,54,0,2
Спланувати похід в кіно з друзями,Організувати наради.,Особисте,129,,20,0,2
Прочитати маркетингова кампанія,Вивчити 12 нових слів.,Навчання,95,18.0,22,0,2
Написати email,,Робота,181,23.0,32,0,3
Дослідити місцеві пам'ятки в село Липовець,Розрахувати бюджет на наради.,Подорожі,194,16.0,29,0,2
Дослідити місцеві пам'ятки в селище Харцизьк,,Подорожі,312,30.0,19,0,2
Пробігти 7 км,Пробігти 10 км.,Спорт,467,2.0,15,0,2
Розрахувати бюджет на наради,Спланувати поїздку до місто Роздільна.,Подорожі,477,12.0,38,0,2
Спланувати поїздку до хутір Іллінці,Розрахувати бюджет на наради.,Подорожі,193,29.0,29,0,2
Дослідити місцеві пам'ятки в хутір Ромни,Зібрати речі для поїздка.,Подорожі,427,2.0,25,0,2
Дослідити місцеві пам'ятки в село Буча,Забронювати готель.,Подорожі,235,3.0,19,0,2
Написати email,Завершити проєктний аналіз перед 2020-07-21.,Робота,323,3.0,44,0,3
Дослідити місцеві пам'ятки в село Миргород,Дослідити місцеві визначні пам'ятки в село Голубівка.,Подорожі,288,27.0,53,0,2
Зібрати речі для поїздка,Зібрати речі для поїздка.,Подорожі,132,24.0,25,0,2
Виконати завдання з математики,Підготуватися до наради.,Навчання,91,16.0,24,0,2
Спланувати поїздку до хутір Сокаль,Спланувати поїздку до місто Вараш.,Подорожі,201,19.0,34,0,2
Зібрати речі для поїздка,Дослідити місцеві визначні пам'ятки в місто Кам'янське.,Подорожі,288,24.0,55,0,2
Зібрати речі для поїздка,Зібрати речі для поїздка.,Подорожі,77,14.0,25,0,2
Відвідати спортзал з родиною,Забронювати готель для вихідного дня.,Особисте,72,7.0,37,0,2
Спланувати похід в кіно з друзями,Організувати наради.,Особисте,260,6.0,20,0,2
Відвідати спортзал з родиною,Організувати наради.,Особисте,394,0.0,20,1,3
Відвідати спортзал з родиною,Прибрати спортзал.,Особисте,305,-1.0,18,1,3
Відвідати спортзал з родиною,Спланувати похід в кіно з друзями.,Особисте,40,3.0,34,0,2
Прочитати маркетингова кампанія,Підготуватися до наради.,Навчання,314,26.0,24,0,2
Створити презентацію на тему маркетингова кампанія,Виконати завдання з математики.,Навчання,191,1.0,31,0,3
Організувати наради,Відвідати спортзал з родиною.,Особисте,301,5.0,29,0,2
Організувати наради,Забронювати готель для вихідного дня.,Особисте,480,2.0,37,0,2
Написати email,Підготувати звіт про маркетингова кампанія.,Робота,147,-1.0,43,1,3
Забронювати готель,Розрахувати бюджет на наради.,Подорожі,191,20.0,29,0,2
Створити презентацію на тему маркетингова кампанія,Вивчити 14 нових слів.,Навчання,92,13.0,22,0,2
Завершити підготовка звіту,Написати email клієнту щодо маркетингова кампанія.,Робота,58,3.0,50,0,2
Відвідати спортзал для спорту,Пробігти 8 км.,Спорт,347,28.0,14,0,2
Організувати наради,Прибрати спортзал.,Особисте,286,25.0,18,0,2
Написати email,Завершити проєктний аналіз перед 2016-10-15.,Робота,333,-1.0,44,1,3
Відвідати спортзал з родиною,Спланувати похід в кіно з друзями.,Особисте,402,21.0,34,0,2
Виконати завдання з математики,Підготуватися до наради.,Навчання,185,5.0,24,0,2
Написати email,Написати email клієнту щодо маркетингова кампанія.,Робота,224,0.0,50,1,3
Розрахувати бюджет на наради,Дослідити місцеві визначні пам'ятки в село Сокиряни.,Подорожі,475,4.0,52,0,2
Розрахувати бюджет на наради,Забронювати готель.,Подорожі,128,5.0,19,0,2
Спланувати поїздку до хутір Іловайськ,Спланувати поїздку до місто Луцьк.,Подорожі,146,23.0,34,0,2
Зробити підготовка звіту,Завершити проєктний аналіз перед 2024-02-24.,Робота,425,20.0,44,0,3
Тренування на біцепс,Зайнятися кардіо.,Спорт,468,2.0,17,0,2
